Title,Item_no,EAN,Price,Shiping_time,Description,Link,Brand,Article no
"KEUCO 31451380100 Unterbauschrank Edition 400 31451,",31451380100,4017214540426,"480,62 ",21 - 23 workdays,"m.Ausschn.,weiß/weiß",https://ssd-armaturenshop.de/KEUCO-31451380100-Unterbauschrank-Edition-400-31451_1,KEUCO,35121
LAUFEN 8286820008721 Spülkasten LB3 Anschluss seitlich,H8286820008721,7612738908027,"210,43 ",19 - 21 workdays,m.Igarn.weiß,https://ssd-armaturenshop.de/LAUFEN-8286820008721-Spuelkasten-LB3-Anschluss-seitlich_1,LAUFEN,124953
Geberit 390533141  Silent-PP Abzweig 45Gr d110/75,390533141-geb,4025416937456,"8,59 ",30 - 31 workdays,mit Muffen,https://ssd-armaturenshop.de/Geberit-390533141-Silent-PP-Abzweig-45Gr-d110/75_1,Geberit,75010
"Geberit 390247141  Silent-PP Abzweig 87,5Gr d50/40",390247141-geb,4025416936459,"3,85 ",30 - 31 workdays,mit Muffen,https://ssd-armaturenshop.de/Geberit-390247141-Silent-PP-Abzweig-875Gr-d50/40_1,Geberit,74799
"Geberit 390248141  Silent-PP Abzweig 87,5Gr d50/50",390248141-geb,4025416936466,"3,85 ",30 - 31 workdays,mit Muffen,https://ssd-armaturenshop.de/Geberit-390248141-Silent-PP-Abzweig-875Gr-d50/50_1,Geberit,74800
"Geberit 390454141  Silent-PP Bogenabzweigung 87,5Gr",390454141-geb,4025416937111,"8,21 ",30 - 31 workdays,d90/90,https://ssd-armaturenshop.de/Geberit-390454141-Silent-PP-Bogenabzweigung-875Gr_1,Geberit,74572
"Geberit 390554141  Silent-PP Bogenabzweigung 87,5Gr",390554141-geb,4025416937517,"8,30 ",30 - 31 workdays,d110/90,https://ssd-armaturenshop.de/Geberit-390554141-Silent-PP-Bogenabzweigung-875Gr_1,Geberit,75016
"Geberit 390278141  Silent-PP Reduktion zentrisch, kurz",390278141-geb,4025416936480,"2,09 ",30 - 31 workdays,d50/40,https://ssd-armaturenshop.de/Geberit-390278141-Silent-PP-Reduktion-zentrisch-kurz_1,Geberit,74802
Geberit 390427141  Silent-PP Reinigungsstück 90Gr,390427141-geb,4025416937043,"11,29 ",30 - 31 workdays,mit runder Serviceöffnung d90,https://ssd-armaturenshop.de/Geberit-390427141-Silent-PP-Reinigungsstueck-90Gr_1,Geberit,73396
Geberit 390286141  Silent-PP Anschlussbogen 90Gr,390286141-geb,4025416936527,"2,91 ",30 - 31 workdays,verlänger d50/46,https://ssd-armaturenshop.de/Geberit-390286141-Silent-PP-Anschlussbogen-90Gr_1,Geberit,74807
Geberit 390128141  Silent-PP Muffenstopfen d40,390128141-geb,4025416756385,"1,58 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390128141-Silent-PP-Muffenstopfen-d40_1,Geberit,74982
Geberit 390228141  Silent-PP Muffenstopfen d50,390228141-geb,4025416936428,"2,09 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390228141-Silent-PP-Muffenstopfen-d50_1,Geberit,74795
Geberit 393207141  Silent-Pro Rohr mit Muffe,393207141-geb,4025416445999,"28,00 ",19 - 20 workdays,d50mm L300cm,https://ssd-armaturenshop.de/Geberit-393207141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117638
Geberit 393223141  Silent-Pro Bogen,393223141-geb,4025416452089,"8,90 ",19 - 20 workdays,"67,5Gr d50mm",https://ssd-armaturenshop.de/Geberit-393223141-Silent-Pro-Bogen_1,Geberit,117672
Geberit 393217141  Silent-Pro Überschiebemuffe,393217141-geb,4025416449393,"7,86 ",19 - 20 workdays,d50mm,https://ssd-armaturenshop.de/Geberit-393217141-Silent-Pro-Ueberschiebemuffe_1,Geberit,117767
Geberit 393218141  Silent-Pro Langmuffe,393218141-geb,4025416446446,"10,25 ",19 - 20 workdays,d50mm,https://ssd-armaturenshop.de/Geberit-393218141-Silent-Pro-Langmuffe_1,Geberit,117773
Geberit 393305141  Silent-Pro Rohr mit Muffe,393305141-geb,4025416450771,"21,59 ",19 - 20 workdays,d75mm L150cm,https://ssd-armaturenshop.de/Geberit-393305141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117627
Geberit 393321141  Silent-Pro Bogen,393321141-geb,4025416451600,"9,66 ",19 - 20 workdays,30Gr d75mm,https://ssd-armaturenshop.de/Geberit-393321141-Silent-Pro-Bogen_1,Geberit,117661
Geberit 393323141  Silent-Pro Bogen,393323141-geb,4025416475507,"9,66 ",19 - 20 workdays,"67,5Gr d75mm",https://ssd-armaturenshop.de/Geberit-393323141-Silent-Pro-Bogen_1,Geberit,117673
Geberit 393324141  Silent-Pro Bogen,393324141-geb,4025416452201,"9,66 ",19 - 20 workdays,"87,5Gr d75mm",https://ssd-armaturenshop.de/Geberit-393324141-Silent-Pro-Bogen_1,Geberit,117677
Geberit 393327141  Silent-Pro Reinigungsstück,393327141-geb,4025416449140,"26,30 ",19 - 20 workdays,d75 90Gr mit runder Serviceöffnung,https://ssd-armaturenshop.de/Geberit-393327141-Silent-Pro-Reinigungsstueck_1,Geberit,117753
Geberit 393317141  Silent-Pro Überschiebemuffe,393317141-geb,4025416473886,"8,62 ",19 - 20 workdays,d75mm,https://ssd-armaturenshop.de/Geberit-393317141-Silent-Pro-Ueberschiebemuffe_1,Geberit,117768
Geberit 393316141  Silent-Pro Doppelsteckmuffe,393316141-geb,4025416446323,"8,62 ",19 - 20 workdays,d75mm,https://ssd-armaturenshop.de/Geberit-393316141-Silent-Pro-Doppelsteckmuffe_1,Geberit,117762
Geberit 393318141  Silent-Pro Langmuffe,393318141-geb,4025416473961,"10,98 ",19 - 20 workdays,d75mm,https://ssd-armaturenshop.de/Geberit-393318141-Silent-Pro-Langmuffe_1,Geberit,117774
Geberit 393500141  Silent-Pro Rohr mit Muffe,393500141-geb,4025416450320,"6,24 ",19 - 20 workdays,d110mm L15cm,https://ssd-armaturenshop.de/Geberit-393500141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117605
Geberit 393505141  Silent-Pro Rohr mit Muffe,393505141-geb,4025416450788,"31,92 ",2 - 3 workdays,d110mm L150cm,https://ssd-armaturenshop.de/Geberit-393505141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117629
Geberit 393507141  Silent-Pro Rohr mit Muffe,393507141-geb,4025416450832,"60,45 ",19 - 20 workdays,d110mm L300cm,https://ssd-armaturenshop.de/Geberit-393507141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117641
Geberit 393523141  Silent-Pro Bogen,393523141-geb,4025416446187,"14,78 ",19 - 20 workdays,"67,5Gr d110mm",https://ssd-armaturenshop.de/Geberit-393523141-Silent-Pro-Bogen_1,Geberit,117675
Geberit 393527141  Silent-Pro Reinigungsstück,393527141-geb,4025416448259,"36,77 ",2 - 3 workdays,90Gr mit runder Serviceöffnung d110mm,https://ssd-armaturenshop.de/Geberit-393527141-Silent-Pro-Reinigungsstueck_1,Geberit,117755
Geberit 393517141  Silent-Pro Überschiebemuffe,393517141-geb,4025416473909,"12,62 ",19 - 20 workdays,d110mm,https://ssd-armaturenshop.de/Geberit-393517141-Silent-Pro-Ueberschiebemuffe_1,Geberit,117770
Geberit 348333001  Rohrschott90 Plus,348333001-geb,4025416536734,"60,07 ",19 - 20 workdays,d110 L5 EN,https://ssd-armaturenshop.de/Geberit-348333001-Rohrschott90-Plus_1,Geberit,117795
Geberit 390203141  Silent-PP Haltekralle d50,390203141-geb,4025416549499,"4,54 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390203141-Silent-PP-Haltekralle-d50_1,Geberit,77464
"Duravit VA6212R8585 WT-Unterbau Vero Air, 1 Tür, TA re",VA6212R8585-DU,4053424537726,"427,09 ",39 - 41 workdays,"436x364x211mm, Weiss Hochglanz",https://ssd-armaturenshop.de/navi.php?a=596203&lang=eng,navi.php?a=596203&lang=eng,596203
"KEUCO 31452210100 Unterbauschrank Edition 400 31452,",31452210100,4017214540648,"741,45 ",21 - 23 workdays,"m.Ausschn.,weiß HG/weiß HG",https://ssd-armaturenshop.de/KEUCO-31452210100-Unterbauschrank-Edition-400-31452_1,KEUCO,35267
"KEUCO 31720210002 Mittelschrank Edition 400 31720,",31720210002,4017214529926,"742,09 ",21 - 23 workdays,"Anschl. re., weiß HG/weiß HG",https://ssd-armaturenshop.de/KEUCO-31720210002-Mittelschrank-Edition-400-31720_1,KEUCO,36137
Geberit 393333141  Silent-Pro Abzweig,393333141-geb,4025416446606,"18,71 ",19 - 20 workdays,45Gr d75/75,https://ssd-armaturenshop.de/Geberit-393333141-Silent-Pro-Abzweig_1,Geberit,117684
Geberit 393552141  Silent-Pro Bogenabzweig,393552141-geb,4025416448471,"27,09 ",19 - 20 workdays,"87,5Gr d110/90",https://ssd-armaturenshop.de/Geberit-393552141-Silent-Pro-Bogenabzweig_1,Geberit,117714
Geberit 393400141  Silent-Pro Rohr mit Muffe,393400141-geb,4025416450313,"5,80 ",3 - 4 workdays,d90mm L15cm,https://ssd-armaturenshop.de/Geberit-393400141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117604
Geberit 393401141  Silent-Pro Rohr mit Muffe,393401141-geb,4025416450412,"7,29 ",3 - 4 workdays,d90mm L25cm,https://ssd-armaturenshop.de/Geberit-393401141-Silent-Pro-Rohr-mit-Muffe_1,Geberit,117610
Geberit 393423141  Silent-Pro Bogen,393423141-geb,4025416452119,"14,52 ",19 - 20 workdays,"67,5Gr d90mm",https://ssd-armaturenshop.de/Geberit-393423141-Silent-Pro-Bogen_1,Geberit,117674
Geberit 393424141  Silent-Pro Bogen,393424141-geb,4025416446293,"14,52 ",3 - 4 workdays,"87,5Gr d90mm",https://ssd-armaturenshop.de/Geberit-393424141-Silent-Pro-Bogen_1,Geberit,117678
Geberit 393432141  Silent-Pro Abzweig,393432141-geb,4025416452300,"23,95 ",19 - 20 workdays,45Gr d90/50,https://ssd-armaturenshop.de/Geberit-393432141-Silent-Pro-Abzweig_1,Geberit,117685
Geberit 393433141  Silent-Pro Abzweig,393433141-geb,4025416446637,"23,95 ",19 - 20 workdays,45Gr d90/75,https://ssd-armaturenshop.de/Geberit-393433141-Silent-Pro-Abzweig_1,Geberit,117686
Geberit 393534141  Silent-Pro Abzweig,393534141-geb,4025416452430,"27,09 ",19 - 20 workdays,45Gr d110/90,https://ssd-armaturenshop.de/Geberit-393534141-Silent-Pro-Abzweig_1,Geberit,117690
Geberit 393248141  Silent-Pro Abzweig,393248141-geb,4025416447726,"14,26 ",2 - 3 workdays,"87,5Gr d50/50",https://ssd-armaturenshop.de/Geberit-393248141-Silent-Pro-Abzweig_1,Geberit,117700
Geberit 393348141  Silent-Pro Abzweig,393348141-geb,4025416447917,"18,71 ",19 - 20 workdays,"87,5Gr d75/50",https://ssd-armaturenshop.de/Geberit-393348141-Silent-Pro-Abzweig_1,Geberit,117701
Geberit 393349141  Silent-Pro Abzweig,393349141-geb,4025416452621,"18,71 ",19 - 20 workdays,"87,5Gr d75/75",https://ssd-armaturenshop.de/Geberit-393349141-Silent-Pro-Abzweig_1,Geberit,117702
Geberit 393448141  Silent-Pro Abzweig,393448141-geb,4025416448143,"23,95 ",2 - 3 workdays,"87,5Gr d90/50",https://ssd-armaturenshop.de/Geberit-393448141-Silent-Pro-Abzweig_1,Geberit,117703
Geberit 393449141  Silent-Pro Abzweig,393449141-geb,4025416452775,"23,95 ",19 - 20 workdays,"87,5Gr d90/75",https://ssd-armaturenshop.de/Geberit-393449141-Silent-Pro-Abzweig_1,Geberit,117704
Geberit 393547141  Silent-Pro Abzweig,393547141-geb,4025416448228,"27,09 ",19 - 20 workdays,"87,5Gr d110/50",https://ssd-armaturenshop.de/Geberit-393547141-Silent-Pro-Abzweig_1,Geberit,117705
Geberit 393549141  Silent-Pro Abzweig,393549141-geb,4025416448297,"27,09 ",19 - 20 workdays,"87,5Gr d110/75",https://ssd-armaturenshop.de/Geberit-393549141-Silent-Pro-Abzweig_1,Geberit,117706
Geberit 393466141  Silent-Pro Bogenabzweig 2-fach,393466141-geb,4025416454526,"70,14 ",3 - 4 workdays,"87,5Gr d90/90/90",https://ssd-armaturenshop.de/Geberit-393466141-Silent-Pro-Bogenabzweig-2-fach_1,Geberit,117717
Geberit 393566141  Silent-Pro Bogenabzweig 2-fach,393566141-geb,4025416463474,"73,67 ",19 - 20 workdays,"87,5Gr d110/110/110",https://ssd-armaturenshop.de/Geberit-393566141-Silent-Pro-Bogenabzweig-2-fach_1,Geberit,117718
Geberit 393665141  Silent-Pro Bogenabzweig 2-fach,393665141-geb,4025416463771,"72,82 ",19 - 20 workdays,"87,5Gr d125/110",https://ssd-armaturenshop.de/Geberit-393665141-Silent-Pro-Bogenabzweig-2-fach_1,Geberit,117719
Geberit 393459141  Silent-Pro Eckabzweig,393459141-geb,4025416474470,"70,14 ",19 - 20 workdays,"87,5Gr d90/90/90",https://ssd-armaturenshop.de/Geberit-393459141-Silent-Pro-Eckabzweig_1,Geberit,117729
Geberit 393550141  Silent-Pro Eckabzweig,393550141-geb,4025416474647,"73,67 ",19 - 20 workdays,"87,5Gr d110/90/90",https://ssd-armaturenshop.de/Geberit-393550141-Silent-Pro-Eckabzweig_1,Geberit,117730
Geberit 393559141  Silent-Pro Eckabzweig,393559141-geb,4025416454397,"73,67 ",19 - 20 workdays,"87,5Gr d110/110/110",https://ssd-armaturenshop.de/Geberit-393559141-Silent-Pro-Eckabzweig_1,Geberit,117731
Geberit 393427141  Silent-Pro Reinigungsstück,393427141-geb,4025416466536,"28,92 ",19 - 20 workdays,d90 90Gr mit runder Serviceöffnung,https://ssd-armaturenshop.de/Geberit-393427141-Silent-Pro-Reinigungsstueck_1,Geberit,117754
Geberit 393417141  Silent-Pro Überschiebemuffe,393417141-geb,4025416449423,"12,62 ",19 - 20 workdays,d90mm,https://ssd-armaturenshop.de/Geberit-393417141-Silent-Pro-Ueberschiebemuffe_1,Geberit,117769
Geberit 393416141  Silent-Pro Doppelsteckmuffe,393416141-geb,4025416473947,"12,62 ",19 - 20 workdays,d90mm,https://ssd-armaturenshop.de/Geberit-393416141-Silent-Pro-Doppelsteckmuffe_1,Geberit,117763
Geberit 393499261  Rohrschelle d90 gedämmt,393499261-geb,4025416474272,"4,17 ",19 - 20 workdays,mit Gewindemuffe M8 / M10,https://ssd-armaturenshop.de/Geberit-393499261-Rohrschelle-d90-gedaemmt_1,Geberit,117779
Geberit 393699261  Rohrschelle d125 gedämmt,393699261-geb,4025416474302,"5,80 ",19 - 20 workdays,mit Gewindemuffe M8 / M10,https://ssd-armaturenshop.de/Geberit-393699261-Rohrschelle-d125-gedaemmt_1,Geberit,117781
Geberit 390308141  Silent-PP Haltekralle d75,390308141-geb,4025416549505,"5,42 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390308141-Silent-PP-Haltekralle-d75_1,Geberit,77465
Geberit 390408141  Silent-PP Haltekralle d90,390408141-geb,4025416549512,"6,10 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390408141-Silent-PP-Haltekralle-d90_1,Geberit,77466
Geberit 390508141  Silent-PP Haltekralle d110,390508141-geb,4025416549536,"9,78 ",30 - 31 workdays,NA,https://ssd-armaturenshop.de/Geberit-390508141-Silent-PP-Haltekralle-d110_1,Geberit,77467
DORNBRACHT 1040089,13713980-00,4029011484940,"408,03 ",20 - 21 workdays,13713980 chrom,https://ssd-armaturenshop.de/DORNBRACHT-1040089_10,DORNBRACHT,6284
DORNBRACHT 1040040,27838979-00,4029011668210,"399,09 ",20 - 21 workdays,27838979 chrom,https://ssd-armaturenshop.de/DORNBRACHT-1040040_2,DORNBRACHT,22739
DORNBRACHT 1020072,17861680-00,4029011687143,"640,22 ",6 - 7 workdays,17861680 chrom,https://ssd-armaturenshop.de/DORNBRACHT-1020072_4,DORNBRACHT,20549
Viega 303822 Einsteckstück Sanfix P 2113,303822,4015211303822,"7,03 ",4 - 5 workdays,in 16 x 15mm Rotguss,https://ssd-armaturenshop.de/Viega-303822-Einsteckstueck-Sanfix-P-2113_1,Viega,71941
Viega 303815 Einsteckstück Sanfix P 2113,303815,4015211303815,"7,25 ",16 - 17 workdays,in 16 x 18mm Rotguss,https://ssd-armaturenshop.de/Viega-303815-Einsteckstueck-Sanfix-P-2113_1,Viega,71940
Viega 331528 Einsteckstück Sanfix P 2113,331528,4015211331528,"7,64 ",16 - 17 workdays,in 20 x 18mm Rotguss,https://ssd-armaturenshop.de/Viega-331528-Einsteckstueck-Sanfix-P-2113_1,Viega,72071
Viega 304744 Einsteckstück Sanfix P 2113,304744,4015211304744,"7,64 ",16 - 17 workdays,in 20 x 22mm Rotguss,https://ssd-armaturenshop.de/Viega-304744-Einsteckstueck-Sanfix-P-2113_1,Viega,71952
Viega 566678 Einsteckstück Sanfix P 2113,566678,4015211566678,"12,69 ",16 - 17 workdays,in 25 x 22mm Rotguss,https://ssd-armaturenshop.de/Viega-566678-Einsteckstueck-Sanfix-P-2113_1,Viega,73070
Viega 566685 Einsteckstück Sanfix P 2113,566685,4015211566685,"18,22 ",16 - 17 workdays,in 32 x 28mm Rotguss,https://ssd-armaturenshop.de/Viega-566685-Einsteckstueck-Sanfix-P-2113_1,Viega,73071
Viega 351496 Schutzmanschette 2125.59,351496,4015211351496,"1,93 ",16 - 17 workdays,für Wandscheibe 15/16mm x Rp1/2 Kst.,https://ssd-armaturenshop.de/Viega-351496-Schutzmanschette-212559_1,Viega,72232
