Supplier_ID,URL,SKU,Title,Price,Original Price,Savings,Manufacturer_EAN,Products_Model,Manufacturer_name,Manufacturer_Series,Shipping_Time
1,https://www.megabad.com/hersteller-bette-waschtische-wandwaschtische-betteone-70-a-159514.htm?varid=159515,159514,Bette BetteOne Wandwaschtisch 70 x 53 cm ohne Hahnloch,"517.55
                                                         €",949.62,"432.07
                                                 €",NA,A132-000PW,Bette,BetteOne,Ca. 17-25 Werktage
1,https://www.megabad.com/hersteller-duravit-vero-air-badmoebel-waschtischunterbauten-a-526483.htm?varid=526561,526483,"Duravit Vero Air Waschtischunterbau wandhängend 36,6 x 21,1 cm, Anschlag Rechts","528.79
                                                         €",1123.36,"594.57
                                                 €",NA,VA6212R8585,Duravit,Vero Air,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-keuco-edition-400-badmoebel-hoch-a-304536.htm?varid=304545,304536,"Keuco Edition 400 Mittelschrank 35 x 89,4 x 30 cm, Anschlag rechts","783.12
                                                         €",1506.66,"723.54
                                                 €",NA,31720210002,Keuco,Edition 400,Ca. 25-33 Werktage
1,https://www.megabad.com/dornbracht-symetrics-waschtisch-standauslauf-ablaufgarnitur-a-65030.htm,65030,Dornbracht Symetrics Waschtisch-Standauslauf mit Ablaufgarnitur,"450.12
                                                         €",789.68,"339.56
                                                 €",NA,13713980-00,Dornbracht,Symetrics,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-dornbracht-mem-brause-giessrohr-abdeckplatte-a-214794.htm,214794,Dornbracht Gießrohr mit Abdeckplatte,"444.56
                                                         €",779.93,"335.37
                                                 €",NA,27838979-00,Dornbracht,MEM,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-dornbracht-kueche-kuechenarmaturen-serie-lot-a-283955.htm,283955,Dornbracht Lot Hot & Cold Water Dispenser,"740.65
                                                         €",1259.62,"518.97
                                                 €",NA,17861680-00,Dornbracht,Lot,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-laufen-sonar-badmoebel-schubladen-elemente-a-828631.htm?varid=828640,828631,"LAUFEN Sonar Schubladenelement 118 x 45 x 34 cm mit 1 Schublade, WT links und rechts, ohne Armatur-Ausschnitt","1502.50
                                                         €",3163.02,"1.660.52
                                                 €",NA,H4054240341421,LAUFEN,Sonar,Ca. 17-25 Werktage
1,https://www.megabad.com/hersteller-duravit-vero-badmoebel-spiegelschraenke-spiegelschrank-a-235390.htm,235390,"Duravit Vero Spiegelschrank 60 cm, mit 2 Türen","1169.50
                                                         €",2513.28,"1.343.78
                                                 €",NA,VE750100000,Duravit,Vero,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-spiegelschraenke-spiegelschrank-62-a-499833.htm?varid=499824,499833,"Duravit Brioso Spiegelschrank 62 x 76 cm, mit 1 Tür, Anschlag Links","805.94
                                                         €",1602.93,"796.99
                                                 €",NA,BR7101L2121,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-vero-badmoebel-waschtischunterschraenke-waschtischunterschrank-a-233059.htm?varid=233062,233059,"Duravit Vero Waschtischunterschrank für Vero Handwaschbecken 50 cm, Türanschlag links","318.55
                                                         €",677.11,"358.56
                                                 €",NA,VE6270L7171,Duravit,Vero,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-laufen-zubehoer-rahmen-fuessen-duschwanne-a-242931.htm,242931,LAUFEN Rahmen mit Füßen für Duschwanne 140 x 80 cm,"433.16
                                                         €",,€,NA,H2980760000001,LAUFEN,NA,Auf Lager
1,https://www.megabad.com/hersteller-duravit-xviu-hochschraenke-halbhochschrank-stehend-a-689953.htm?varid=689989,689953,"Duravit XViu Halbhochschrank stehend 40 cm, 1 Tür rechts","646.43
                                                         €",1360.17,"713.74
                                                 €",NA,XV1315RB122,Duravit,XViu,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-waschtischunterbauten-wandhaengend-117-a-483210.htm?varid=483225,483210,"Duravit Brioso Waschtischunterbau wandhängend 117 cm, mit 2 Auszügen, Griff Korpusfarbe","672.14
                                                         €",1298.29,"626.15
                                                 €",NA,BR414809191,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-ketho-badmoebel-waschtischunterschraenke-waschtischunterbau-a-287738.htm?varid=287742,287738,Duravit Ketho Waschtischunterbau für D-Code Möbelwaschtisch 65 cm,"520.73
                                                         €",1065.05,"544.32
                                                 €",NA,KT665004949,Duravit,Ketho,Ca. 33-53 Werktage
1,https://www.megabad.com/duravit-ketho-waschtischunterbau-wandhaengend-66640-a-107977.htm?varid=107979,107977,Duravit Ketho Waschtischunterbau für Starck 3 Möbelwaschtisch 85 cm,"416.01
                                                         €",850.85,"434.84
                                                 €",NA,KT666404949,Duravit,Ketho,Ca. 33-53 Werktage
1,https://www.megabad.com/bette-fuss-system-duschtasse-5-eckig-a-40088.htm,40088,Bette Fuss-System für Duschtasse 5-eckig 100 x 100 cm,"132.24
                                                         €",218.96,"86.72
                                                 €",NA,B51-3064,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-laufen-living-square-waschtische-einbauwaschtisch-a-227536.htm,227536,LAUFEN Living Square Einbauwaschtisch 90 cm,"490.75
                                                         €",1082.90,"592.15
                                                 €",NA,H8164340001041,LAUFEN,Living Square,Ca. 17-25 Werktage
1,https://www.megabad.com/hersteller-duravit-ketho-badmoebel-schraenke-hochschrank-a-108065.htm?varid=108066,108065,Duravit Ketho Hochschrank,"477.97
                                                         €",992.46,"514.49
                                                 €",NA,KT1267R4343,Duravit,Ketho,Ca. 33-53 Werktage
1,https://www.megabad.com/dornbracht-brauseschlaeuche-metallschlauch-125-cm-a-42405.htm?varid=42414,42405,Dornbracht Metallschlauch 125 cm,"129.05
                                                         €",203.97,"74.92
                                                 €",NA,093002072-08,Dornbracht,serienübergreifend,Ca. 25-33 Werktage
1,https://www.megabad.com/dornbracht-brauseschlaeuche-metallschlauch-125-cm-a-42405.htm?varid=42415,42405,Dornbracht Metallschlauch 125 cm,"139.08
                                                         €",224.32,"85.24
                                                 €",NA,093002072-09,Dornbracht,serienübergreifend,Auf Lager
1,https://www.megabad.com/dornbracht-meta-02-brause-metallschlauch-175-a-30109.htm?varid=57948,30109,Dornbracht Brause Metallschlauch 175 cm,"133.13
                                                         €",203.97,"70.84
                                                 €",NA,28322970-08,Dornbracht,serienübergreifend,Ca. 4-9 Werktage
1,https://www.megabad.com/dornbracht-meta-02-brause-metallschlauch-175-a-30109.htm?varid=57949,30109,Dornbracht Brause Metallschlauch 175 cm,"146.41
                                                         €",224.32,"77.91
                                                 €",NA,28322970-09,Dornbracht,serienübergreifend,Ca. 4-9 Werktage
1,https://www.megabad.com/dornbracht-serie-tara-brause-schlauchbrausegarnitur-a-83951.htm?varid=93575,83951,Dornbracht Tara Schlauchbrausegarnitur,"465.22
                                                         €",845.02,"379.80
                                                 €",NA,27802892-06,Dornbracht,Tara,Ca. 9-17 Werktage
1,https://www.megabad.com/laufen-serie-pro-waschtische-105-cm-a-26728.htm?varid=26734,26728,LAUFEN Pro A Waschtisch 105 cm unterbaufähig,"614.84
                                                         €",1241.17,"626.33
                                                 €",NA,H8139580491041,LAUFEN,Pro A,Ca. 17-25 Werktage
1,https://www.megabad.com/hersteller-keuco-edition-400-badmoebel-hoch-a-304389.htm?varid=304391,304389,"Keuco Edition 400 Hochschrank 35 x 30 x 176,9 cm, Anschlag rechts","836.50
                                                         €",1655.41,"818.91
                                                 €",NA,31730390002,Keuco,Edition 400,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-edition-400-badmoebel-hoch-a-304471.htm?varid=304477,304471,"Keuco Edition 400 Hochschrank 45 x 30 x 176,9 cm, Anschlag rechts","1218.15
                                                         €",2475.20,"1.257.05
                                                 €",NA,31735210002,Keuco,Edition 400,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-edition-400-badmoebel-hoch-a-304471.htm,304471,"Keuco Edition 400 Hochschrank 45 x 30 x 176,9 cm, Anschlag rechts","989.25
                                                         €",1903.41,"914.16
                                                 €",NA,31735380002,Keuco,Edition 400,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-duravit-durastyle-badmoebel-waschtischunterbauten-123-a-243220.htm?varid=248267,243220,Duravit DuraStyle Waschtischunterbau 123 cm mit 2 Schubkästen,"688.68
                                                         €",1473.22,"784.54
                                                 €",NA,DS649802222,Duravit,DuraStyle,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-bette-zubehoer-duschwannenzubehoer-einbausystem-universal-a-360527.htm,360527,Bette Einbausystem Universal 90 x 75 cm,"334.74
                                                         €",543.83,"209.09
                                                 €",NA,B50-6034,Bette,Universal,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-laufen-badmoebel-space-waschtischunterbauten-63-a-361738.htm?varid=361739,361738,"LAUFEN Space Waschtischunterbau 63,5 x 41 cm","658.18
                                                         €",1205.47,"547.29
                                                 €",NA,H4101621601011,LAUFEN,Space,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-waschtischunterbau-a-192052.htm?varid=360954,192052,"Keuco Edition 11 Waschtischunterbau 105 x 35 cm links, beleuchtet","1699.68
                                                         €",3427.20,"1.727.52
                                                 €",NA,31153270100,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/bette-fuss-system-duschtasse-rechteckig-a-46041.htm,46041,Bette Fuss-System für Duschtasse rechteckig 140 x 75 cm,"145.29
                                                         €",218.96,"73.67
                                                 €",NA,B50-3059,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/bette-fuss-system-duschtasse-150-0-x-70-0-cm-a-64463.htm,64463,Bette Fuss-System für Duschtasse 150 x 70 cm,"143.81
                                                         €",218.96,"75.15
                                                 €",NA,B50-3075,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/bette-fuss-system-duschtasse-170-0-x-75-0-cm-a-61323.htm,61323,Bette Fuss-System für Duschtasse 170 x 75 cm,"185.27
                                                         €",282.03,"96.76
                                                 €",NA,B50-3082,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/bette-montagerahmen-duschtasse-viertelkreis-a-40223.htm,40223,Bette Fuss-System für Duschtasse viertelkreis 90 x 100 cm,"132.24
                                                         €",218.96,"86.72
                                                 €",NA,B52-3053,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-waschtischunterbau-a-192138.htm?varid=192145,192138,Keuco Edition 11 Waschtischunterbau 140 x 35 cm rechts,"1749.25
                                                         €",3500.03,"1.750.78
                                                 €",NA,31166140000,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-sideboard-a-153459.htm?varid=190637,153459,"Keuco Edition 11 Sideboard 105 x 70 cm, beleuchtet","2526.31
                                                         €",5144.97,"2.618.66
                                                 €",NA,31325110100,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-hochschrank-a-152741.htm,152741,Keuco Edition 11 Hochschrank 35 x 170 cm rechts,"1211.55
                                                         €",2385.71,"1.174.16
                                                 €",NA,31330380002,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-waschtischunterschraenke-a-153591.htm?varid=153594,153591,Keuco Edition 11 Waschtischunterbau 70 x 35 cm,"1238.69
                                                         €",2495.19,"1.256.50
                                                 €",NA,31341210000,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-keuco-badmoebel-edition-11-waschtischunterschraenke-a-153701.htm?varid=153704,153701,Keuco Edition 11 Waschtischunterbau 140 x 35 cm,"1758.28
                                                         €",3541.80,"1.783.52
                                                 €",NA,31361210000,Keuco,Edition 11,Ca. 25-33 Werktage
1,https://www.megabad.com/duravit-durastyle-badmoebel-hochschraenke-hochschrank-50-a-207699.htm?varid=207700,207699,Duravit Durastyle Hochschrank 50 x 36 x 180 cm Türanschlag links,"481.38
                                                         €",1044.82,"563.44
                                                 €",NA,DS1249L4343,Duravit,DuraStyle,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-durastyle-badmoebel-waschtischunterbauten-1-a-286899.htm,286899,Duravit DuraStyle Waschtischunterschrank 113 cm mit 1 Auszug,"360.47
                                                         €",771.12,"410.65
                                                 €",NA,DS628301818,Duravit,DuraStyle,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-duravit-durastyle-badmoebel-waschtischunterbauten-accessoires-a-296388.htm?varid=296391,296388,Duravit DuraStyle Möbel-Accessoire Ablage Wandhängend 94 cm,"328.23
                                                         €",702.10,"373.87
                                                 €",NA,DS987304377,Duravit,DuraStyle,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-durastyle-badmoebel-waschtischunterbauten-accessoires-a-296419.htm?varid=296422,296419,Duravit DuraStyle Möbel-Accessoire Handtuchhalter mit Ablage 94 cm,"261.99
                                                         €",560.49,"298.50
                                                 €",NA,DS988304376,Duravit,DuraStyle,Ca. 33-53 Werktage
1,https://www.megabad.com/bette-zubehoer-fuss-system-bettefloor-150-a-97228.htm,97228,Bette Fuss-System für Bettefloor 150 x 90 cm,"207.11
                                                         €",335.58,"128.47
                                                 €",NA,B50-3177,Bette,NA,Ca. 4-9 Werktage
1,https://www.megabad.com/bette-fuss-system-duschtasse-rechteckig-a-39853.htm,39853,Bette Fuss-System für Duschtasse rechteckig 120 x 70 cm,"145.29
                                                         €",218.96,"73.67
                                                 €",NA,B50-3030,Bette,NA,Auf Lager
1,https://www.megabad.com/hersteller-laufen-badmoebel-pro-waschtischunterbau-handwaschbecken-a-229086.htm?varid=229087,229086,"LAUFEN Pro S Waschtischunterbau für Handwaschbecken 41,5 cm, Anschlag rechts","195.31
                                                         €",397.46,"202.15
                                                 €",NA,H4833020964231,LAUFEN,Pro S,Ca. 25-33 Werktage
1,https://www.megabad.com/laufen-badmoebel-pro-s-waschtischunterbau-126-a-215619.htm?varid=215620,215619,LAUFEN Pro S Waschtischunterbau 126 cm mit 2 Auszügen und Innenschublade,"691.78
                                                         €",1407.77,"715.99
                                                 €",NA,H4835720964631,LAUFEN,Pro S,Ca. 25-33 Werktage
1,https://www.megabad.com/hersteller-duravit-happy-2-badmoebel-hochschraenke-a-185417.htm?varid=185418,185417,Duravit Happy D.2 Hochschrank Türanschlag links,"854.25
                                                         €",1756.44,"902.19
                                                 €",NA,H29253L5252,Duravit,Happy D.2,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-bette-waschtische-einbauwaschtische-aqua-betteaqua-a-105645.htm,105645,"Bette BetteAQUA Einbauwaschtisch 80 x 49,5 cm ohne Hahnloch","461.77
                                                         €",847.28,"385.51
                                                 €",NA,A048-000,Bette,BetteAqua,Ca. 4-9 Werktage
1,https://www.megabad.com/bette-einbauwaschtische-emaille-betteone-90-a-159502.htm?varid=159503,159502,Bette BetteOne Einbauwaschtisch 90 x 53 cm ohne Hahnloch,"525.97
                                                         €",965.09,"439.12
                                                 €",NA,A128-000PW,Bette,BetteOne,Ca. 4-9 Werktage
1,https://www.megabad.com/hersteller-duravit-vero-badmoebel-waschtischunterschraenke-waschtischunterschrank-a-233143.htm,233143,"Duravit Vero Waschtischunterschrank für Vero Waschtisch 60 cm, mit 1 Auszug","500.84
                                                         €",1063.86,"563.02
                                                 €",NA,VE610402222,Duravit,Vero,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-hochschraenke-hochschrank-52-a-504399.htm?varid=504387,504399,"Duravit Brioso Hochschrank 52 x 36 x 177 cm, mit 1 Tür, Türanschlag Links, Griff Chrom","768.27
                                                         €",1483.93,"715.66
                                                 €",NA,BR1331L1075,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-hochschraenke-hochschrank-42-a-500013.htm?varid=499938,500013,"Duravit Brioso Hochschrank 42 x 36 x 177 cm, mit 1 Tür, Türanschlag Links, Griff Chrom","570.38
                                                         €",1101.94,"531.56
                                                 €",NA,BR1330L1052,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-waschtischunterbauten-vero-air-a-497946.htm,497946,"Duravit Brioso Waschtischunterbau wandhängend 98,4 cm, mit 2 Auszügen, Griff Korpusfarbe","662.73
                                                         €",1280.44,"617.71
                                                 €",NA,BR415604949,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-waschtischunterbauten-me-by-a-489222.htm?varid=489237,489222,"Duravit Brioso Waschtischunterbau wandhängend 82 cm, mit 1 Auszug, Regal Rechts, Griff Chrom","688.48
                                                         €",1330.42,"641.94
                                                 €",NA,BR401201091,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-waschtischunterbauten-me-by-a-489363.htm?varid=489351,489363,"Duravit Brioso Waschtischunterbau wandhängend 82 cm, mit 1 Auszug, Regal Links, Griff Korpusfarbe","688.48
                                                         €",1330.42,"641.94
                                                 €",NA,BR401401818,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/hersteller-duravit-brioso-waschtischunterbauten-me-by-a-486051.htm?varid=486066,486051,"Duravit Brioso Waschtischunterbau wandhängend 122 cm, mit 1 Auszug, Griff Chrom","472.39
                                                         €",912.73,"440.34
                                                 €",NA,BR400401091,Duravit,Brioso,Ca. 33-53 Werktage
1,https://www.megabad.com/laufen-badmoebel-base-waschtischunterbauten-ino-77-a-831187.htm,831187,"LAUFEN BASE für INO Waschtischunterbau 77 x 35 cm, 1 Schublade, Griff eloxiert","373.73
                                                         €",824.67,"450.94
                                                 €",NA,H4030011102601,LAUFEN,BASE für INO,Ca. 33-53 Werktage
